,S. No.,Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
1448,1519,League of Legends,PC,15.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,2,22,20.0
1449,1520,League of Legends,PC,18.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with strangers,4,10,26.0
1450,1521,League of Legends,PC,30.0,I play for fun,winning,Male,26,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,10,11,37.0
1451,1522,League of Legends,PC,21.0,I play for fun,improving,Male,24,Student at college / university,High school diploma (or equivalent),Sweden,Multiplayer - online - with real life friends,1,29,24.0
1452,1523,League of Legends,PC,70.0,Playing to not get bored.,Not getting bored.,Male,22,Unemployed / between jobs,,Unknown,Multiplayer - online - with strangers,9,5,40.0
1453,1524,League of Legends,PC,25.0,I play for fun,improving,Male,19,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,12,6.0
1454,1526,League of Legends,PC,20.0,I play for fun,winning,Male,20,Unemployed / between jobs,Bachelor or equivalent,France,Multiplayer - online - with online acquaintances or teammates,9,8,15.0
1455,1527,Starcraft 2,PC,15.0,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,12,35,
1456,1528,League of Legends,PC,20.0,I play for fun,improving,Male,29,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,1,33,21.0
1457,1529,World of Warcraft,PC,20.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Bangladesh,Multiplayer - online - with online acquaintances or teammates,6,22,26.0
1458,1530,Counter Strike,PC,21.0,I play for fun,having fun,Male,18,Student at school,,Germany,Multiplayer - online - with real life friends,4,23,13.0
1459,1531,League of Legends,PC,14.0,I play for fun,winning,Male,19,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,3,6,20.0
1460,1532,League of Legends,PC,25.0,I play for fun,having fun,Male,21,Student at college / university,Bachelor or equivalent,Canada,Multiplayer - online - with real life friends,2,21,13.0
1461,1533,League of Legends,PC,20.0,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),Netherlands,Multiplayer - online - with real life friends,5,20,25.0
1462,1534,League of Legends,PC,15.0,I play for fun,having fun,Male,23,Employed,Bachelor or equivalent,Norway,Multiplayer - online - with real life friends,3,22,
1463,1535,League of Legends,PC,20.0,I play for fun,relaxing+having fun,Male,20,Student at college / university,High school diploma (or equivalent),France,Singleplayer,7,13,40.0
1464,1536,League of Legends,PC,25.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),improving,Male,20,Student at college / university,High school diploma (or equivalent),Australia,Singleplayer,0,26,11.0
1465,1537,League of Legends,PC,21.0,I play for fun,winning,Male,22,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,10,10,48.0
1466,1538,League of Legends,PC,10.0,I play for fun,having fun,Male,25,Student at college / university,Bachelor or equivalent,Sweden,Multiplayer - online - with online acquaintances or teammates,0,15,9.0
1467,1539,League of Legends,PC,35.0,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),Chile,Multiplayer - online - with real life friends,3,24,21.0
1468,1540,League of Legends,PC,30.0,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,0,7,44.0
1469,1541,League of Legends,PC,24.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,21,10,26.0
1470,1542,League of Legends,PC,20.0,I play for fun,improving,Male,28,Unemployed / between jobs,,Portugal,Multiplayer - online - with strangers,14,7,22.0
1471,1543,League of Legends,PC,50.0,I play for fun,having fun,Male,20,Employed,,Chile,Multiplayer - online - with online acquaintances or teammates,11,15,60.0
1472,1544,League of Legends,PC,30.0,I play for fun,improving,Male,19,Student at college / university,Bachelor or equivalent,Spain,Multiplayer - online - with online acquaintances or teammates,5,17,40.0
1473,1545,League of Legends,PC,10.0,I play for fun,winning,Female,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,1,31,5.0
1474,1546,Starcraft 2,PC,18.0,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Malta,Multiplayer - online - with strangers,3,27,12.0
1475,1547,League of Legends,PC,15.0,I play for fun,winning,Male,21,Student at college / university,Bachelor or equivalent,Greece,Multiplayer - online - with online acquaintances or teammates,13,20,3.0
1476,1548,League of Legends,PC,8.0,I play for fun,relaxing,Male,26,Employed,Bachelor or equivalent,Poland,Multiplayer - online - with real life friends,3,19,23.0
1477,1549,League of Legends,Console (PS  Xbox  ...),35.0,I play to improve ,improving,Male,20,Student at school,High school diploma (or equivalent),Syria,Multiplayer - online - with online acquaintances or teammates,8,9,22.0
1478,1550,League of Legends,PC,30.0,I play for fun,winning,Male,20,Student at college / university,Bachelor or equivalent,UK,Multiplayer - online - with strangers,1,30,10.0
1479,1551,League of Legends,PC,10.0,I play for fun,relaxing,Male,24,Student at college / university,Bachelor or equivalent,Germany,Multiplayer - online - with strangers,2,19,3.0
1480,1552,League of Legends,PC,18.0,I play for fun,having fun,Male,29,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,3,28,15.0
1481,1553,League of Legends,PC,18.0,I play for fun,improving,Male,19,Student at school,,Italy,Multiplayer - online - with online acquaintances or teammates,6,11,17.0
1482,1554,Other,PC,10.0,I play for fun,improving,Female,21,Student at college / university,Bachelor or equivalent,USA,Singleplayer,4,30,7.0
1483,1555,League of Legends,PC,25.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Multiplayer - online - with online acquaintances or teammates,1,31,
1484,1556,League of Legends,PC,20.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Brazil,Multiplayer - online - with real life friends,7,22,8.0
1485,1557,Other,PC,20.0,I play for fun,having fun,Male,23,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with strangers,7,24,16.0
1486,1558,League of Legends,PC,25.0,I play for fun,improving,Male,25,Employed,High school diploma (or equivalent),Germany,Multiplayer - online - with real life friends,8,22,6.0
1487,1559,League of Legends,PC,40.0,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,1,25,8.0
1488,1560,League of Legends,PC,24.0,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Netherlands,Multiplayer - online - with real life friends,2,14,3.0
1489,1561,League of Legends,PC,15.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,3,20,2.0
1490,1562,League of Legends,PC,20.0,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),France,Multiplayer - online - with real life friends,8,25,53.0
1491,1563,Other,PC,70.0,I play for fun,relaxing,Male,19,Student at college / university,High school diploma (or equivalent),Australia,Multiplayer - online - with real life friends,9,24,29.0
1492,1564,League of Legends,PC,10.0,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),Canada,Multiplayer - online - with strangers,1,23,6.0
1493,1565,League of Legends,PC,20.0,I play for fun,relaxing,Male,24,Employed,Bachelor or equivalent,USA,Multiplayer - online - with real life friends,9,24,13.0
1494,1566,League of Legends,PC,7.0,I play for fun,having fun,Male,25,Employed,Bachelor or equivalent,USA,Multiplayer - online - with online acquaintances or teammates,1,22,19.0
1495,1567,League of Legends,PC,30.0,I play for fun,winning,Male,19,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,7,8,17.0
1496,1568,League of Legends,PC,20.0,I play for fun,improving,Female,18,Student at school,High school diploma (or equivalent),Croatia,Multiplayer - online - with online acquaintances or teammates,5,29,8.0
1497,1569,League of Legends,PC,5.0,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with real life friends,3,27,15.0
1498,1570,League of Legends,PC,20.0,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,27,25.0
1499,1571,Counter Strike,PC,36.0,I play mostly for fun but earn a little on the side (tournament winnings  streaming  etc),having fun,Male,22,Employed,Bachelor or equivalent,Denmark,Multiplayer - online - with online acquaintances or teammates,0,32,0.0
1500,1572,League of Legends,PC,40.0,I play for fun,winning,Male,23,Student at college / university,High school diploma (or equivalent),Poland,Multiplayer - online - with real life friends,9,21,35.0
1501,1573,Other,PC,8.0,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,Multiplayer - online - with real life friends,1,25,8.0
1502,1574,League of Legends,PC,30.0,I play for fun,having fun,Female,20,Student at college / university,High school diploma (or equivalent),Slovenia,Multiplayer - online - with online acquaintances or teammates,5,19,
1503,1575,World of Warcraft,PC,20.0,I play for fun,having fun,Male,30,Employed,High school diploma (or equivalent),USA,Multiplayer - online - with online acquaintances or teammates,2,16,14.0
1504,1576,League of Legends,PC,25.0,I play for fun,having fun,Male,27,Employed,Bachelor or equivalent,USA,Multiplayer - online - with strangers,2,23,29.0
1505,1577,League of Legends,PC,3.0,I play for fun,relaxing,Male,22,Student at college / university,High school diploma (or equivalent),UK,Multiplayer - online - with online acquaintances or teammates,6,25,15.0
